tract_id,tract_name,total_pop,median_income,median_home_value,median_gross_rent,occupied_units,owner_units,renter_units,hispanic_pop,white_pop,black_pop,poverty_universe,below_poverty,poverty_rate,year,centroid_distance_miles,beltline_half_mile,beltline_one_mile,beltline_three_miles,pct_white,pct_black,pct_hispanic,pct_renter
13121004400,"Census Tract 44, Fulton County, Georgia",1717.0,7796.0,22500.0,207.0,661,49,612,14.0,10.0,1673.0,1690.0,1147.0,0.678698224852071,2000,1.2277013693044059,0.0,0.0,1.0,0.005824111822947,0.9743739079790332,0.008153756552125802,0.9258698940998488
13121004800,"Census Tract 48, Fulton County, Georgia",2259.0,8469.0,162500.0,210.0,904,47,857,25.0,68.0,2137.0,2258.0,1476.0,0.6536758193091231,2000,1.254117407760239,0.0,0.0,1.0,0.03010181496237273,0.9459938025675078,0.011066843736166445,0.9480088495575221
13121004900,"Census Tract 49, Fulton County, Georgia",2041.0,54226.0,181200.0,417.0,951,627,324,48.0,951.0,996.0,2025.0,415.0,0.2049382716049382,2000,1.137194792959718,0.0,0.0,1.0,0.4659480646741793,0.48799608035276826,0.023517883390494855,0.34069400630914826
13121005000,"Census Tract 50, Fulton County, Georgia",1921.0,39531.0,197600.0,766.0,896,413,483,198.0,1147.0,519.0,1705.0,363.0,0.2129032258064516,2000,0.40104438717451474,1.0,1.0,1.0,0.597084851639771,0.2701717855283706,0.10307131702238417,0.5390625
13121005200,"Census Tract 52, Fulton County, Georgia",3475.0,39032.0,162600.0,522.0,1473,953,520,159.0,1697.0,1503.0,3446.0,565.0,0.1639582124201973,2000,0.2890551669483074,1.0,1.0,1.0,0.4883453237410072,0.4325179856115108,0.045755395683453236,0.3530210454854039
13121005300,"Census Tract 53, Fulton County, Georgia",2892.0,39167.0,194000.0,732.0,1208,781,427,87.0,1207.0,1509.0,2881.0,519.0,0.1801457827143353,2000,0.428070001161692,1.0,1.0,1.0,0.4173582295988935,0.5217842323651453,0.03008298755186722,0.353476821192053
13121005501,"Census Tract 55.01, Fulton County, Georgia",2368.0,19018.0,71900.0,430.0,780,262,518,40.0,41.0,2231.0,2392.0,933.0,0.3900501672240802,2000,0.3901246480842299,1.0,1.0,1.0,0.01731418918918919,0.9421452702702703,0.016891891891891893,0.6641025641025641
13121005700,"Census Tract 57, Fulton County, Georgia",1382.0,12361.0,38600.0,344.0,458,125,333,16.0,7.0,1320.0,1442.0,542.0,0.3758668515950069,2000,0.7233800477589044,0.0,1.0,1.0,0.005065123010130246,0.9551374819102749,0.011577424023154847,0.7270742358078602
13121005800,"Census Tract 58, Fulton County, Georgia",2230.0,27096.0,73700.0,525.0,683,265,418,39.0,159.0,1632.0,2120.0,591.0,0.2787735849056604,2000,0.43251141980752,1.0,1.0,1.0,0.07130044843049327,0.7318385650224215,0.01748878923766816,0.6120058565153733
13121006000,"Census Tract 60, Fulton County, Georgia",4263.0,27218.0,72600.0,504.0,1599,797,802,29.0,56.0,4118.0,4346.0,985.0,0.2266451909802116,2000,0.3282690773976486,1.0,1.0,1.0,0.013136288998357963,0.9659863945578231,0.006802721088435374,0.5015634771732332
13121006100,"Census Tract 61, Fulton County, Georgia",4326.0,27212.0,68400.0,611.0,1532,1084,448,21.0,70.0,4195.0,4326.0,1083.0,0.2503467406380028,2000,0.6910133506800721,0.0,1.0,1.0,0.016181229773462782,0.9697179842810911,0.0048543689320388345,0.2924281984334204
13121006200,"Census Tract 62, Fulton County, Georgia",1614.0,24464.0,57300.0,600.0,551,234,317,9.0,26.0,1569.0,1673.0,560.0,0.3347280334728033,2000,0.13392420394697213,1.0,1.0,1.0,0.0161090458488228,0.9721189591078067,0.0055762081784386614,0.5753176043557169
